batch_id,sample_id,moisture,ph,diastase_activity,h_m_f,collection_date,lab_id,analyst,region,quality_score,quality_category,compliance_status
BATCH_001,SAMPLE_000001,16.87270059423681,4.055398786515859,9.831939786151342,33.45405988417796,2024-01-01 00:00:00,LAB_B,Analyst_1,East,95.0,Premium,Compliant
BATCH_002,SAMPLE_000002,19.75357153204958,5.125702842135075,9.728851593503999,35.933627943827446,2024-01-01 01:00:00,LAB_A,Analyst_4,West,90.0,Excellent,Compliant
BATCH_003,SAMPLE_000003,18.659969709057027,6.118837507629225,14.343782063647257,25.00935797584998,2024-01-01 02:00:00,LAB_D,Analyst_1,East,85.0,Good,Compliant
BATCH_004,SAMPLE_000004,17.993292420985185,5.696674659228684,9.746823398946542,32.49748199213998,2024-01-01 03:00:00,LAB_A,Analyst_2,West,95.0,Premium,Compliant
BATCH_005,SAMPLE_000005,15.780093202212182,5.919683443584349,9.903648082900418,31.434919662874975,2024-01-01 04:00:00,LAB_C,Analyst_1,West,90.0,Excellent,Compliant
BATCH_006,SAMPLE_000006,15.779972601681013,5.4763501001321515,13.315787836925747,36.65660753576542,2024-01-01 05:00:00,LAB_C,Analyst_2,East,95.0,Premium,Compliant
BATCH_007,SAMPLE_000007,15.290418060840997,5.576829693553558,11.14817889715378,38.12174120962521,2024-01-01 06:00:00,LAB_D,Analyst_2,South,85.0,Good,Compliant
BATCH_008,SAMPLE_000008,19.330880728874675,6.047586954695958,13.436973898686269,20.243135429547735,2024-01-01 07:00:00,LAB_A,Analyst_1,West,85.0,Good,Compliant
BATCH_009,SAMPLE_000009,18.005575058716044,4.249004026577558,8.457563102950697,33.48039838117585,2024-01-01 08:00:00,LAB_D,Analyst_2,East,95.0,Premium,Compliant
BATCH_010,SAMPLE_000010,18.540362888980226,4.968274890929422,11.41299835571369,21.03671598239458,2024-01-01 09:00:00,LAB_A,Analyst_3,North,95.0,Premium,Compliant
BATCH_011,SAMPLE_000011,15.102922471479012,4.163628325458807,8.235295201282979,30.97717330154712,2024-01-01 10:00:00,LAB_B,Analyst_1,East,85.0,Good,Compliant
BATCH_012,SAMPLE_000012,19.849549260809972,6.4630040239899404,8.438572424187482,25.752654580873564,2024-01-01 11:00:00,LAB_C,Analyst_1,North,80.0,Good,Compliant
BATCH_013,SAMPLE_000013,19.162213204002107,6.33217801905984,14.345062173410877,26.135531990442825,2024-01-01 12:00:00,LAB_D,Analyst_2,West,85.0,Good,Compliant
BATCH_014,SAMPLE_000014,16.06169555339138,3.6182804341055177,8.974717597823165,27.05917006904713,2024-01-01 13:00:00,LAB_B,Analyst_2,East,85.0,Good,Compliant
BATCH_015,SAMPLE_000015,15.909124836035502,5.616725517547065,11.726944775926519,32.4258489809922,2024-01-01 14:00:00,LAB_B,Analyst_1,East,90.0,Excellent,Compliant
BATCH_016,SAMPLE_000016,15.91702254926717,6.275744952246997,10.877669218204947,26.680999313375384,2024-01-01 15:00:00,LAB_D,Analyst_3,North,85.0,Good,Compliant
BATCH_017,SAMPLE_000017,16.521211214797688,4.041726035382,10.4314032838119,34.65398101180561,2024-01-01 16:00:00,LAB_D,Analyst_2,East,95.0,Premium,Compliant
BATCH_018,SAMPLE_000018,17.62378215816119,5.203835691657888,14.298833419810908,28.09054771147739,2024-01-01 17:00:00,LAB_B,Analyst_2,East,100.0,Premium,Compliant
BATCH_019,SAMPLE_000019,17.15972509321058,6.246464892764125,8.152763777428426,21.367064006199172,2024-01-01 18:00:00,LAB_A,Analyst_4,West,90.0,Excellent,Compliant
BATCH_020,SAMPLE_000020,16.45614570099021,3.6018379357573966,12.646527803229123,35.675196849682145,2024-01-01 19:00:00,LAB_B,Analyst_3,East,85.0,Good,Compliant
BATCH_021,SAMPLE_000021,18.059264473611897,5.59226080174052,14.743761039494853,25.71516649185412,2024-01-01 20:00:00,LAB_D,Analyst_3,South,95.0,Premium,Compliant
BATCH_022,SAMPLE_000022,15.69746930326021,4.392047022117652,11.921177284232893,28.65533759198525,2024-01-01 21:00:00,LAB_B,Analyst_1,North,90.0,Excellent,Compliant
BATCH_023,SAMPLE_000023,16.460723242676092,6.273188586129591,14.557757234231643,33.708877664438035,2024-01-01 22:00:00,LAB_A,Analyst_3,East,85.0,Good,Compliant
